"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Samoa Americana","ASM","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-44000000","-61000000","-110000000","-120000000","-143000000","-120000000","-117000000","-29000000","-177000000","-228000000","-163000000","-193000000","-266000000","-237000000","-210000000","-264000000","-226000000","-215000000","-265000000","-390000000","",
"Antigua y Barbuda","ATG","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272518518.518519","238777777.777778","156888888.888889","123222222.222222","180814814.814815","205851851.851852","169111111.111111","196962962.962963","174111111.111111","158666666.666667","144592592.592593","197703703.703704","105407407.407407","-57703703.7037037","-141148148.148148","-88814814.8148148","104518518.518519","72703703.7037037","143555555.555556","78037037.037037","58740740.7407407","103074074.074074","164222222.222222","119925925.925926","23659925.9259259","-96588592.5925926","39813370.3703704","-56404962.962963","","",
"Australia","AUS","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-198240031.742194","-515200082.493837","260960041.784922","-178080028.514174","278880044.654273","-530880085.004519","-599200095.943919","-306880049.137634","-714560114.415366","-505120080.879827","-100800016.140099","-124320019.906122","442757009.345794","1997437540.03844","-57479734.7089167","-441076061.723337","146216936.328155","-695113558.15554","-1142530492.03066","-1412018630.0125","788857938.718663","-3235806339.25462","-6378682555.44522","-3597490930.69907","-2760340335.79944","-3693360326.96576","-5591074426.41298","-3024086818.42245","-1557033632.65406","-5487300930.29254","-5989169015.30382","-431670203.964172","885182044.878191","-999859471.613266","-1661016949.15254","-7226017226.01723","-1817146043.78728","1194238542.49681","-3507427253.61188","-9508710364.70736","-8967395144.10014","326284993.12637","16743078.7644131","-9762376237.62376","-16501636079.1009","-18867201154.6745","-13863448352.836","-14030776477.9775","-26920531654.1636","2604926439.00205","-10587136393.2841","14436091234.5319","-2599606800.69733","-20547199561.2091","-4094497211.76915","-20082675872.996","-27489349718.8352","6778542174.98202","5102626649.38846","34476238533.8982","50200066281.9446","66460222794.1112","98354118409.9048",
"Austria","AUT","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","-11818470.4948399","-55318867.7167089","-95890231.5614025","-182430950.874974","-471182273.262662","-164187406.178399","-1035863312.11168","-2252386146.0328","-892188951.009192","-1150219248.58466","-2821893214.20974","-1701430793.15708","-451971444.704364","-1093201317.6038","-729462898.012516","-166888135.142325","-18983325.8224425","-51297344.3622116","-560956201.939151","-676115444.617785","-155711000.84715","-1507541543.901","-2574313799.14851","-642064355.849994","-3399090471.02759","-2869127883.17183","-3760709643.87835","-1726846318.63795","-491318363.717208","986216236.042473","2628000966.35295","3354580395.47245","7912466377.52943","7221565487.21175","8869135468.58303","10132965977.6498","12089357488.5176","17079349582.4589","19114143977.6406","13469372004.5742","13747376918.5004","12063672510.0196","11443497069.4102","12114920098.3805","14470854213.2311","14326995719.9648","15163377190.553","13199895268.2119","13653369374.1958","16132702381.8036","13065455648.7002","2778091404.72864","6835296588.17123",
"Azerbaiyán","AZE","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410876132.930514","238000000","140544280.442804","-291552888.222056","-70480026.7477591","-505716213.223278","-984478012.956269","-951353385.816893","-1415224145.04639","-636139314.75264","94543018.3305614","238694321.659299","-454141404.443865","-1712779973.64954","-2077143937.26236","1329883723.75904","5821623043.38823","13092865961.8414","20668689545.7214","12635494639.932","17789932718.6643","21333025663.1412","19291783513.225","16430879665.0107","12838824628.1145","1585943179.50704","1051937899.89021","2735372782.22005","7779217850.80537","5917294117.64706","-329058823.529412","9150705882.35294","25999705882.3529",
"Burundi","BDI","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-1750001.998285","-3499999.99657","-6999999.99314","-15749999.984565","5249997.994855","-3476148.14484709","-3666285.71061943","-1934857.14092229","-5626285.70865943","-4633142.85250971","-2262857.14059429","-14502857.1295629","-8244571.42857143","-7050208.68217829","-19958095.2380952","-45155555.5555556","-13122318.8405797","1665555.55555556","-51983333.3333333","-66977777.7777778","-133201111.111111","-124952222.222222","-169162222.222222","-170043033.889188","-118934090.719238","-112241235.39647","-127291596.741701","-180963682.421496","-144635190.71192","-147013717.408157","-225312545.619106","-216993753.615444","-224489561.360134","-166880195.222405","-168448010.195399","-143580889.901425","-86321830.2229562","-44796367.2484745","-102252107.221222","-67783377.1027042","-86315511.9541538","-92989703.1372313","-101541858.305899","-114665348.875875","-161731658.355361","-253584652.535964","-353998271.808668","-341762225.137499","-422300979.246277","-402608915.368018","-408459216.547115","-567898536.167605","-567309538.221038","-696588891.645666","-692761257.397532","-310516328.982261","-271712679.956202","-277455737.890157","-406169009.588607","-481348606.556433","-468322772.096447","-522352019.461937","-564682254.563355",
"Bélgica","BEL","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","","","","","","","","","","","583597418.313836","581774525.121289","1138651819.26496","916582488.097702","288928127.589064","202501919.491061","208368861.024033","-549247045.582442","-799154604.841809","-2010039900.93561","-3577711408.47013","-2193369187.30987","-1582876567.19054","344979881.656805","495069812.901424","890002717.575922","2687310818.13256","2713639113.99244","3884174437.73999","3607222563.47256","3612875422.50121","3934812758.41701","5983582183.18695","7197266791.04478","8858973957.07741","11089490968.8013","8856286644.95114","9815741993.68516","9409313180.70682","10216533029.3437","6783287643.76472","8634316460.43308","14411205478.0785","17041157539.9215","18069920172.8186","15569789758.7549","16503842056.2353","19473396554.8236","3480542816.79687","10931049318.4766","8195978148.33354","-518085745.136191","312332126.132813","4163118805.72553","4383786888.07835","6556000719.41406","5685165077.86009","5223645760.00006","-1822921381.3333","3366035956.07837","8995593895.25279","6246761221.70533","-13986486706.8094",
"Benin","BEN","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-13540909.1823815","-11668269.6495837","-15229913.2867142","-19817885.1582977","-19172871.4414174","-22143652.6288624","-28322049.7390596","-37072589.9741803","-31790214.8346185","-31934690.5611287","-30976478.3862364","-33664169.0250722","-50945765.864113","-51891175.4333004","-84184917.138748","-127825139.580416","-125973749.467777","-139523362.224378","-167380158.710881","-231379214.234032","-302207753.962152","-361879959.338854","-282908153.866318","-195119123.120158","-119330543.924685","-135900638.306552","-212968995.454606","-245034343.281082","-296170446.308745","-169902127.897633","-144205941.190518","-185528219.145704","-173980880.598501","-237760307.9435","-123794026.487526","-196617143.934266","-83115273.5944383","-98883444.1788304","-132765181.454778","-307898180.822335","-216041108.044642","-312362645.602591","-180994316.821861","-231496422.024254","-178024698.48807","-139802467.863337","-257367391.055862","-410746117.77421","-341975490.20404","-472001561.541845","-504111169.720103","-590028152.709854","-327919475.854283","-508106993.973094","-319704476.569211","-833090755.275427","-446050447.854592","-897423731.438352","-1033558668.92287","-636152533.26064","-796396404.373108","-1099836449.01807","-1327248761.64753",
"Burkina Faso","BFA","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","-36274159.0238781","-36289432.4888925","-38617084.5994529","-39756800.606679","-35778419.5780171","-28437026.5808805","-28622655.6898089","-40562447.8084964","-41820409.6185234","-51250564.9491255","-48987509.4966268","-69561866.5731485","-86148663.6151338","-112064647.81216","-121324217.708735","-214340678.171323","-183620077.60052","-254333290.11948","-299283925.221266","-367815790.778176","-430335722.836683","-393503629.76548","-411038168.904615","-347100404.643387","-259813092.209648","-327647752.468951","-406865693.462915","-396291210.787517","-422027025.03394","-389645013.310112","-418342761.676105","-404456605.766164","-358530194.478615","-375049580.306543","-205183784.451718","-296639237.582761","-441086732.360546","-386520160.532606","-429811389.220696","-628656320.420717","-517491006.981139","-432933523.982767","-491980036.511217","-565449103.58419","-747850039.729251","-890512831.964341","-863789007.268826","-997645320.350704","-1425906207.89401","-1201943592.11708","-812969198.738911","-616850363.131613","-1010211747.95623","-1328549694.53532","-691511437.584579","-813329644.255692","-777861343.671166","-897767916.019245","-705171477.966617","-555225287.427486","","","",
"Bangladesh","BGD","Balanza comercial de bienes y servicios (US$ a precios actuales)","NE.RSB.GNFS.CD","29472269.6624246","-44208310.7436407","-3117229.04282175","-88983517.2980924","-220475074.574042","-218774782.974927","-152462264.776135","-238611865.520149","-245129802.761197","-298123196.489147","-377188130.847963","-388240255.408872","-506696083.333333","-429877226.577561","-831762076.324379","-1012377602.52366","-1304107178.45118","-515438377.504848","-1317974808.20106","-1508080952.69382","-2247061873.38501","-1819522643.81885","-1937075848.30339","-1604040404.0404","-1895720000","-1660461538.46154","-1448600000","-1629838709.67742","-1813076878.7379","-2085202591.34016","-2259240016.79027","-1722661064.42577","-1509549071.61804","-1687195767.19577","-1642094763.09227","-2458582089.55224","-3094229828.85086","-2549601873.5363","-2182026431.71806","-2497212978.36938","-2472788709.99801","-2874981467.75389","-2269650008.70625","-2884974093.26425","-2972345846.78104","-3896617886.17886","-3881819535.43776","-4738271068.63597","-6692012826.11864","-6366463189.45473","-6633869734.45904","-9746514027.98891","-10385411208.8853","-10830297901.6557","-11297648458.56","-14460489452.4035","-9261368204.04944","-12808403848.4709","-23026996482.0428","-18926618978.1025","-20137890910.2345","-26634482343.0147","-36887477435.1401",
