Year,China,Alemania,España,India,Japón,Estados Unidos
1970-01-01,19.2999999967145,,4.28918295677589,5.15722973718955,2.45495838398273,-0.283491263214827
1971-01-01,7.05999999854134,3.13269973811248,4.64947368746324,1.64293037527582,4.6989920423419,3.29335163921785
1972-01-01,3.81000000021395,4.30034133420232,8.14974580952463,-0.553301305344547,8.413547255176,5.25890735705133
1973-01-01,7.76000000082682,4.77748689217385,7.78846535789519,3.29552113471652,8.03259997495039,5.645722556183
1974-01-01,2.31000000295589,0.890068740587211,5.61878571735528,1.18533625466961,-1.22523982778432,-0.540551651583186
1975-01-01,8.71999999750163,-0.866738894227723,0.5422032143575,9.14991201570659,3.09157591622022,-0.20545606501301
1976-01-01,-1.5700000016835,4.94925837665457,3.30379157223688,1.66310363813034,3.97498409121211,5.38813928726294
1977-01-01,7.57000000137049,3.34721812001672,2.83857433385704,7.25476458760367,4.39033795032562,4.62415306482367
1978-01-01,11.3259779879134,3.00849285673846,1.46300323600586,5.71253208869331,5.27194150290775,5.53530495839769
1979-01-01,7.5913246800003,4.15036334066737,0.0415465146293599,-5.23818270446218,5.48404183248661,3.16614530778003
1980-01-01,7.83414501593799,1.40882863572145,2.20872810729247,6.7358215288198,2.81759120761602,-0.256749673873159
1981-01-01,5.11276109058912,0.529240556536067,-0.13246845198897,6.00620362601497,4.26062449346863,2.53771930714828
1982-01-01,9.01711391382203,-0.394840774795966,1.24646160563331,3.47573323969961,3.27974274286728,-1.80288740885109
1983-01-01,10.7702025065715,1.57241016952116,1.7701157399856,7.28889290305703,3.63019857224671,4.58391335530169
1984-01-01,15.1915400236134,2.82294780997955,1.78468750686895,3.82073785610604,4.41088015361535,7.23663315018621
1985-01-01,13.4306775204064,2.32793526226367,2.32143594586805,5.25429922311382,5.15980790471274,4.16965622337729
1986-01-01,8.94996176438008,2.28733922127036,3.2533217057731,4.77656416847516,3.29404761337059,3.4626459710688
1987-01-01,11.6574277931357,1.40215162742055,5.54712261944346,3.96535563481719,4.64886139754491,3.45925198973302
1988-01-01,11.222594982521,3.70723565949591,5.09432420396358,9.62778291607844,6.66163652201594,4.177061291404
1989-01-01,4.20633435547815,3.89655169214447,4.82703027068838,5.94734333181324,4.92578541306383,3.67264814950788
1990-01-01,3.92025136776569,5.25500608278011,3.78139355508462,5.53345456125301,4.84092905745234,1.88596495668033
1991-01-01,9.26278608406234,5.10826152190214,2.54600058472822,1.05683143336988,3.52335723533228,-0.108264790855543
1992-01-01,14.2245295931824,1.923076559054,0.929215316053813,5.48239602167047,0.900586066360461,3.52244052740502
1993-01-01,13.8837293021031,-0.976849818160517,-1.03149172891911,4.75077621965234,-0.459219716150798,2.75178105096643
1994-01-01,13.0368066319673,2.39189207051331,2.38319532639552,6.65892406734025,1.08338317429946,4.02879325991903
1995-01-01,10.9539543428699,1.54414649556445,2.75749404598304,7.57449184032379,2.63099961644897,2.68421727207786
1996-01-01,9.92255675231162,0.80582289149001,2.66056160429645,7.5495222488198,3.13387099280445,3.77256549921414
1997-01-01,9.23677989162672,1.79216082094591,3.70249462716615,4.0498208490926,0.981228732132223,4.44717494524525
1998-01-01,7.84595178761953,2.01393278519326,4.39310073452258,6.18441582090618,-1.27033049463975,4.48139443155316
1999-01-01,7.66165150053656,1.88726115399444,4.4905533784064,8.84575556105509,-0.333929957747415,4.79449904467508
2000-01-01,8.49009340575191,2.91250296366708,5.24594382377803,3.84099115681285,2.76464755143648,4.07715947941618
2001-01-01,8.3357334781433,1.68146848097079,3.93300276489272,4.82396626390641,0.386103426145752,0.954338728708379
2002-01-01,9.13363078993316,-0.197973834771361,2.73094832930995,3.8039753213758,0.0419624993125609,1.69594292274957
2003-01-01,10.038030481108,-0.700116686114356,2.98193631644672,7.86038147553259,1.53512549928013,2.7962091006717
2004-01-01,10.1136213780461,1.17508813160987,3.12273351662624,7.92293661286503,2.1861156944216,3.85255260064351
2005-01-01,11.3945918097286,0.731707163554191,3.65208419190144,7.92343062149763,1.80390087227372,3.48322032025258
2006-01-01,12.7209556651735,3.816441912988,4.10268574072705,8.06073257303272,1.37235012762038,2.78281062584327
2007-01-01,14.2308609330803,2.97645513131597,3.60473846199818,7.66081506504928,1.48396941163492,2.01050755163328
2008-01-01,9.65067891955702,0.95987913356484,0.887067045576416,3.08669805953289,-1.22428900072828,0.122188442974647
2009-01-01,9.39872563237978,-5.69383633640285,-3.7631070424473,7.86188883303498,-5.69323635882266,-2.59988835108558
2010-01-01,10.6358710646812,4.17988249873657,0.162919517758226,8.49758470158106,4.09791791930137,2.70885669419681
2011-01-01,9.55083217886229,3.92519270463411,-0.814384776648922,5.24131500140663,0.0238095237748297,1.54989495017045
2012-01-01,7.86373644866194,0.418497594217598,-2.95892213230024,5.45638875297365,1.37475099920874,2.28068760319185
2013-01-01,7.766150097539,0.437591303144671,-1.40334186790638,6.38610640094825,2.0051001767726,1.84187539518688
2014-01-01,7.42576365645755,2.20954343134872,1.39577536727975,7.41022760508854,0.296205514142628,2.28777593255359
2015-01-01,7.04132887865481,1.49193152760772,3.83851887667484,7.99625378571471,1.56062669674904,2.70636958176399
2016-01-01,6.84876220503246,2.22999986782015,3.03777414172446,8.25630550179086,0.753826745903538,1.66747207596187
2017-01-01,6.94720079327288,2.68023111405891,2.97576072924863,6.79538341897911,1.67533175166503,2.24192121597748
2018-01-01,6.74977383247717,0.981232606004738,2.28446941947622,6.45385134497769,0.643391023460339,2.9453848312678
2019-01-01,5.95050075376979,1.05660389828289,1.9839662230883,3.87143694070356,-0.402169200910947,2.29443907769311
