"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2639407353318","18.8662781416001","11.6715725749289","2.19580450971051","4.53931728266622","2.37064150750518","4.09261476333727","4.80035199531828","-0.567201753935393","-1.83002373800004","3.85474445102984","-1.02708952603501","-1.68953665272255","4.91835385108675","2.36919299315137","-2.134006060887","0.117317036422548","6.31877676516297","-1.37914839490475","-0.0490843651328845","1.83873074125837","0.577087557491993","-12.7660428841211","-3.82701299563932","2.40034245209328","-1.83397735596419","5.63531750282364","-0.709567170830184","2.88516618544072","1.51593791406077","4.91713876742246","4.73833038397655","0.181216309197723","-18.6983243537002","17.2253004018797","",
"","AFE","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","-2.34297354000095","5.09399196578835","2.33079606875697","1.72402096043484","2.43621527890161","1.09158965461609","2.36315193011896","1.09749423062944","2.31428990855851","1.72156214237332","2.41549398304031","-0.686310354440252","1.4923832284516","2.82241881222643","-1.19888174833549","-0.108533939808595","-1.58448871370661","-1.88553300564422","-0.325150875494529","2.36208854195333","1.25122351698825","-2.53137745774161","-2.75644096026231","0.0795145418145609","-3.30184633421682","-0.712220949061546","1.13969351044079","1.06271600555856","0.0577611192601069","-2.84667989563715","-2.58336277611552","-4.49492254540431","-2.94524504233475","-0.618975224675197","1.66440249621888","2.68474511364103","1.80628561407323","-0.655817294121292","0.0912787097779244","0.750783888997546","1.01109648611404","1.26208021163214","0.471842197209455","2.7890912539719","3.35642298749576","3.7543232784588","3.72757640336714","1.50504604603987","-2.03568602300813","2.33631297255835","0.942903059297279","-1.84483331792869","1.40045661230546","1.18675917210587","0.166839637757079","-0.490259075567408","-0.10588633336323","-0.169822405441494","-0.587557018399707","-5.42166221698315","1.68355673118708","0.842506639677993",
"Afganistán","AFG","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.927029128491213","-2.49725463876793","7.32187384114641","1.08498820068206","11.8033826648298","1.86475446570947","17.1435343251686","11.0992199166219","-3.21136429567835","8.24714425211255","2.00252214522922","-0.964803329240652","-1.66641641520391","-0.345802496981889","-0.253593781811986","-1.68857659267114","0.932833388709597","-5.3646659309623","-22.9291944307147","",
"","AFW","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","-0.255511351747927","1.59294217712238","4.97870998351004","3.1302314152464","1.79876056473303","-3.96268622272251","-11.5678166484528","-0.820016682586115","12.9149161304306","15.1879839475024","8.21202040272513","0.706315835328539","1.66874157999671","7.45358763820063","-4.73586622531974","5.70527858648717","1.95303095555839","-4.87050455558766","2.29978165158282","-0.779581415225721","-9.55176427641172","-6.0968130039937","-9.03726181220385","-2.00196746864817","2.7748820359285","-1.27130061533701","-1.22280072334283","2.07991277451343","-0.478485881867201","3.82294768670566","-1.47923603828211","-0.0372081483140647","-3.77235289796694","-2.83112787347299","-0.743677003158297","1.8998571584894","1.52516526683588","0.741763491594156","-1.2521405819223","0.956780029803326","2.33999459241289","6.91495719278062","2.64469845223682","5.02888880469629","2.90405723608802","2.47221980301131","2.62448453185414","3.35242372161812","3.34528983651359","4.01030864854583","1.94853007873905","2.26111318643053","3.2579229637624","3.09363459555263","0.0260160622438406","-2.51927409834653","-0.38269079571522","0.140162280475892","0.563580469542387","-3.45312417907287","1.37216006946974","1.19266768111382",
"Angola","AGO","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.73834787700565","-3.52844122911962","0.498296559473289","2.24177897016472","-0.163475063809827","-0.704614525529294","0.564519377037541","2.61497482878168","-3.27491256774344","-6.62640931330293","-2.31250177865971","-8.84829361715117","-26.3491236736712","-1.85062104574317","11.2784223654184","9.82545782161561","3.75551939227412","1.31392610614915","-1.06272488645489","-0.234945632722756","0.838227322043267","9.93730724887301","-0.466060748026067","7.12707655508129","11.0095655823448","7.61421920521134","9.93510869891678","7.16304601770217","-2.79728998562862","0.571220940848207","-0.345062435335691","4.53805378017384","1.10633103462652","1.03072911796671","-2.64297533030704","-6.01189077751143","-3.63069503801748","-4.67666958432599","-4.01711416103254","-8.67243212911843","-1.95459800636894","-0.096754729759283",
"Albania","ALB","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854723071","0.795840071093252","-1.01680217228552","-3.30749720231945","-0.290595348322142","3.61465554406624","-2.74949637948961","-3.26252233446822","6.9236172850875","-11.187905298961","-27.5668208369982","-6.62255121235502","10.2299493531342","8.96976165855091","14.0244959298688","9.78017987930293","-10.3611049709411","9.51648443822282","13.6080691237129","7.63002243937019","9.31439713939355","4.85047533419143","5.9242115424577","5.9565695961824","6.06788243935723","6.57292298236362","6.78722893588666","8.3281084229243","4.05313986380152","4.22308382721044","2.82164245514005","1.58487281451019","1.18723435286199","1.98538809180384","2.51682705417127","3.48029321671386","3.89811226746693","4.27631155105293","2.52354084280566","-2.74523867757104","9.92271370805365","6.2052753940383",
"Andorra","AND","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-2.52610533382391","0.997233297436878","0.890676964139431","-0.920696155915806","-5.41248285965634","-2.52895903762182","-2.66072465359534","-3.59862489908521","-4.55293526809415","-2.00751514688865","-3.84777218498169","-2.97935496391716","-2.84618552648762","-2.43573048888305","-1.48096585648069","-0.812964067590457","1.0491551716048","0.821046213526316","0.797489468593852","0.0423206245897916","-0.90401445386901","-2.32861318191536","-4.16503009521114","-0.771998475101711","-0.330383518168347","2.6610559320218","8.16554774255292","2.39691998648581","3.35545744566453","2.8360535398907","5.37253298925349","0.0767023575421746","4.19683709369501","3.88238377731496","1.57804021890526","4.29262143453559","4.22037542039897","-2.93538202686689","-2.47803707231481","1.2226877027027","1.34089389241103","-5.57125554315211","-4.02602703426984","2.14093898224779","1.25741601269149","2.57450458774666","-1.41657902035861","-0.00387029555736262","0.238296569502523","-12.7350775611172","6.45944053180018","7.73271565222045",
"El mundo árabe","ARB","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","11.7495163518878","4.45748695553732","-3.62578666981629","7.38364631439225","5.34825671695936","0.142651967376466","-11.0916045332444","-9.1358744619496","-1.773428203495","-4.91114096540366","1.39949227672551","-2.95505763992209","3.05910201456847","-0.403209960791202","8.63096477186687","0.25419809466436","2.590523573371","0.424790961579575","0.585881490372756","0.508609444994562","2.27733408276272","2.29485177417502","2.7440098165663","-0.422571648697954","4.18547189617048","-0.489799750078944","-1.46952395436679","2.65337821003655","6.51056860790315","3.09963500984243","3.47359187657659","1.83352245461634","2.76764790102133","-2.18592000734171","2.23648841121474","1.30990195669621","2.92183744686159","0.311814859734","0.167322011408586","1.26562540365644","1.54640368826848","-0.832822320031241","0.344381769040865","-0.671140196057024","-6.71249524062264","1.90928076787762","4.10106560107538",
"Emiratos Árabes Unidos","ARE","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","3.0973069070144","5.51613893812544","-13.6117817027898","7.18387947010741","10.9753059194355","-3.53448636770128","-12.1248315555959","-10.1117633393283","-1.60863999325107","-8.5704650378425","-20.1208199401845","-3.65128545488598","-8.85224708281405","5.55695437762682","11.5831413390822","-4.57527992949927","-1.92175126606726","-3.61462080936221","2.0429573649774","2.08704729976816","0.0927207444249234","1.35949143029224","-5.71670852416096","-2.95895730166433","4.83612964510461","-3.8515541466836","-2.62547169518371","3.6710471704011","4.63057627437276","-2.19042061275793","-4.01771539617427","-13.9233874024843","-13.2874275605328","-17.145393900361","-4.25638586310046","5.76343344219433","3.69120130502168","4.01269214543069","3.17420248692079","5.81735787132587","4.65350539500164","-0.0873260713745054","0.517239888701809","0.323686526806853","-5.73104452161624","3.05240051957495","6.54663823524344",
"Argentina","ARG","Crecimiento del PIB per cápita (% anual)","NY.GDP.PCAP.KD.ZG","","3.74090281401109","-2.4543330322291","-6.83139331486137","8.38275147670433","8.83885021210359","-2.2092854101143","1.58724121826592","3.20815605012841","8.00173312595651","1.44319966346231","3.99812531243921","0.0204873323872619","1.13609332154905","3.75415966139556","-1.67352839502321","-3.56380252130759","5.23880284239959","-6.02700203883769","8.47251807667928","-0.0775227575679907","-6.67658724564203","-2.28515041480823","2.73513003775881","0.0213797875689323","-6.61309327708733","4.56111400269241","1.16468993134897","-2.57039183252373","-8.52791141060089","-3.87738988305726","7.58999966385119","6.45007313090611","6.74749737225402","4.42012078486435","-4.11688080061714","4.20496731858427","6.82332109239341","2.65434759734458","-4.49211212893599","-1.90698749835167","-5.45379697848054","-11.8459503938227","7.71922963663721","7.92815705080419","7.73249699851691","6.93498173764449","7.91621057164458","3.02978540664043","-6.86795522506981","9.84429639847724","4.78868313859435","-2.14528444981812","1.26568517537076","-3.57858050983289","1.62966427946263","-3.11006389821465","1.75764818265694","-3.60160975657155","-2.96956249866219","-10.8126108522948","9.35717585932072","4.27316373772393",
